Object_Type,Name,Latitude,Longitude
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5962428,-34.92895446
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5960172,-34.92896614
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5959261,-34.92897977
Bike Rack,Bike Rack on GROTE ST (1260); it's a U Shape type,138.5957763,-34.92898243
Bike Rack,Bike Rack on TOPHAM MALL (1519); it's a U Shape type,138.5977947,-34.92549525
Bike Rack,Bike Rack on TOPHAM MALL (1519); it's a U Shape type,138.5978203,-34.92549278
Bike Rack,Bike Rack on TOPHAM MALL (1519); it's a U Shape type,138.5978659,-34.92548917
Bike Rack,Bike Rack on TOPHAM MALL (1519); it's a U Shape type,138.5978842,-34.92548503
Bike Rack,Bike Rack on TOPHAM MALL (1519); it's a U Shape type,138.5979116,-34.92548557
Bike Rack,Bike Rack on TOPHAM MALL (1519); it's a U Shape type,138.5980607,-34.92548708
Bike Rack,Bike Rack on TOPHAM MALL (1519); it's a U Shape type,138.5980582,-34.92550794
Bike Rack,Bike Rack on HUTT ST (1286); it's a Steel Rail type,138.612047,-34.93029482
Bike Rack,Bike Rack on HUTT ST (1286); it's a U Shape type,138.6118839,-34.92848418
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a U Shape type,138.6117374,-34.9278945
Bike Rack,Bike Rack on WAKEFIELD ST (1487); it's a U Shape type,138.6117827,-34.92791577
Bike Rack,Bike Rack on HUTT ST (1286); it's a Circular type,138.6123027,-34.9292656
Bike Rack,Bike Rack on CATHERINE HELEN SPENCE ST (1715); it's a U Shape type,138.6031469,-34.93300982
Bike Rack,Bike Rack on CATHERINE HELEN SPENCE ST (1715); it's a U Shape type,138.6031929,-34.93300496
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.5885217,-34.92225898
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.5885005,-34.92225721
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6054643,-34.92309864
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6054639,-34.92311276
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6054479,-34.92286037
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6054451,-34.9228448
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6054476,-34.92287012
